一滴眼泪,作曲,吴旭文
一滴眼泪,作词,吴旭文
一滴眼泪,歌手,陈奕迅
一滴眼泪,所属专辑,陈奕迅
一疋布,歌手,陈奕迅
一疋布,所属专辑,五星级的家
一疋布,作词,黄仲凯
一疋布,作曲,陈辉阳
七百年后,作曲,柳重言
七百年后,所属专辑,H3M
七百年后,歌手,陈奕迅
七百年后,作词,林若宁
万佛朝宗,作词,林夕
万佛朝宗,歌手,陈奕迅
万佛朝宗,作曲,Alex Ni
万佛朝宗,所属专辑,Great 5000 Secs
万圣节的一个传说,歌手,陈奕迅
万圣节的一个传说,所属专辑,准备中
万圣节的一个传说,作曲,曲世聪
万圣节的一个传说,作词,袁两半
三个人的探戈,所属专辑,U87
三个人的探戈,作词,黄伟文
三个人的探戈,歌手,陈奕迅
三个人的探戈,作曲,陈羽恒
不如不见,作词,林夕
不如承诺来的简单,作词,火星电台
不如承诺来的简单,所属专辑,米·闪
不如承诺来的简单,歌手,陈奕迅
不如承诺来的简单,作曲,火星电台
不如这样,作词,林夕
不如这样,作曲,陈伟
不如这样,歌手,陈奕迅
不如这样,所属专辑,反正是我
不求人,歌手,陈奕迅
不求人,所属专辑,Sound & Sight
不求人,作词,林夕
不求人,作曲,蓝奕邦
不然你要我怎么样,所属专辑,怎么样
不然你要我怎么样,歌手,陈奕迅
不然你要我怎么样,作词,卓伸颖
不然你要我怎么样,作曲,Alex Ni
不然你要我怎么样,作词,Alex Ni
不睡,歌手,陈奕迅
不睡,所属专辑,怎么样
不睡,作词,马嵩惟
不睡,作曲,Adrian Fu
不知所谓,作曲,黄伟年
不知所谓,作词,黄伟年
不知所谓,歌手,陈奕迅
不良嗜好,作词,黄伟文
不良嗜好,所属专辑,U87
不良嗜好,作曲,林一峰
不良嗜好,歌手,陈奕迅
不要说话,歌手,陈奕迅
不要说话,所属专辑,不想放手
不要说话,作词,小柯
不要说话,作曲,小柯
与我常在,歌手,陈奕迅
与我常在,作曲,林健华
与我常在,作词,林夕
专家话,作曲,刘祖德
专家话,作词,刘祖德
专家话,所属专辑,幸福
专家话,歌手,陈奕迅
世界,歌手,陈奕迅
世界,所属专辑,黑·白·灰
世界,作词,姚若龙
世界,作曲,陈小霞
两名男子街头相遇,作曲,王双骏
两名男子街头相遇,作词,黄伟文
两名男子街头相遇,歌手,陈奕迅
两名男子街头相遇,所属专辑,The Line-Up
两种讲法,所属专辑,我的快乐时代
两种讲法,歌手,陈奕迅
之外,歌手,陈奕迅
之外,作词,易家扬
之外,作曲,徐继宗
之外,所属专辑,C'mon in~
乐园,作曲,黄韵玲
乐园,所属专辑,Stranger Under My Skin
乐园,歌手,黄韵玲
乐园,歌手,陈奕迅
乐园,作词,黄韵玲
乜嘢啫,作曲,陈奕迅
乜嘢啫,作词,游思行
乜嘢啫,所属专辑,Listen To Eason Chan
乜嘢啫,歌手,陈奕迅
习惯说,作曲,Eric Kwok
习惯说,作词,陈咏谦
习惯说,所属专辑,…3mm
习惯说,歌手,陈奕迅
习惯说,作曲,陈奕迅
二个人的夜晚,作词,陈民辕
二个人的夜晚,作曲,陈建良
二个人的夜晚,所属专辑,一滴眼泪
二个人的夜晚,歌手,陈奕迅
五星级迫爆,所属专辑,五星级的家
五星级迫爆,作词,黄仲凯
五星级迫爆,作曲,金培达
五星级迫爆,歌手,陈奕迅
五星连珠,所属专辑,五星级的家
五星连珠,歌手,陈奕迅
人人爱,歌手,陈奕迅
人人爱,作词,陈少琪
人人爱,作曲,陈奕迅
人人爱,作曲,C.Y.Kong
人工智能,作曲,Gilitte Leung
人工智能,作词,黄伟文
人工智能,所属专辑,The Easy Ride
人工智能,歌手,陈奕迅
人来人往,作词,林夕
人来人往,作曲,陈辉阳
人来人往,歌手,陈奕迅
人生马拉松,歌手,陈奕迅
人生马拉松,所属专辑,准备中
人生马拉松,作词,袁两半
人生马拉松,作曲,曲世聪
人神斗,所属专辑,怎么样
人神斗,歌手,陈奕迅
人神斗,作词,周耀辉
人神斗,作曲,王双骏
人车志,作词,黄伟文
人车志,作曲,Jerald
人车志,歌手,陈奕迅
人车志,所属专辑,Life Continues
人造卫星,作词,林夕
人造卫星,所属专辑,Special Thanks To…
人造卫星,歌手,陈奕迅
人造卫星,作曲,Hugesen D Christensen B
今天只做一件事,所属专辑,H3M
今天只做一件事,作词,周耀辉
今天只做一件事,作曲,舒文
今天只做一件事,作曲,Joey Tang
今天只做一件事,歌手,陈奕迅
今天等我来,所属专辑,与我常在
今天等我来,作词,劳双恩
今天等我来,作曲,柳重言
今天等我来,歌手,陈奕迅
今日,作曲,柳重言
今日,作词,林振强
今日,所属专辑,天佑爱人
今日,歌手,陈奕迅
从未痴心,歌手,陈奕迅
从未痴心,作词,罗士衡
从未痴心,作曲,何子明
从未痴心,所属专辑,陈奕迅
他一个人,作词,黄伟文
他一个人,所属专辑,The Easy Ride
他一个人,歌手,陈奕迅
他一个人,作曲,蔡德才
任我行,歌手,陈奕迅
任我行,所属专辑,The Key
任我行,作词,林夕
任我行,作曲,泽日生
伤信,歌手,陈奕迅
伤信,所属专辑,陈奕迅
伤信,作词,周礼茂
伤信,作曲,西村
伤信,作曲,纪江
伤心证明书,歌手,陈奕迅
伤心证明书,所属专辑,婚礼的祝福
伤心证明书,作词,陈静楠
伤心证明书,作曲,林贤一
伴游,所属专辑,与我常在
伴游,歌手,陈奕迅
伴游,作词,周耀辉
伴游,作曲,柳重言
低等动物,作词,黄伟文
低等动物,所属专辑,打得火热
低等动物,歌手,陈奕迅
低等动物,作曲,钱文璟
低调,歌手,陈奕迅
低调,所属专辑,Life Continues
低调,作曲,Eric Kwok
低调,作词,黄伟文
你为什么哭了呢,作词,王小苗
你为什么哭了呢,所属专辑,上五楼的快活
你为什么哭了呢,作曲,范晓萱
你为什么哭了呢,歌手,陈奕迅
你会不会,作词,林夕
你会不会,所属专辑,Special Thanks To…
你会不会,作曲,陈奕迅
你会不会,歌手,陈奕迅
你给我听好,作曲,林俊杰
你给我听好,歌手,陈奕迅
你给我听好,所属专辑,米·闪
你给我听好,作词,林夕
信任,作词,小克
信任,所属专辑,…3mm
信任,歌手,陈奕迅
